able,〜することができる,形容詞,Sorry， I don't think I'm gonna be able to.,ごめん。出来るとは思えないよ。
absolute,絶対的な；完全な,形容詞,That's the absolute truth.,それは全くの真実です。
acceptable,許容できる,形容詞,Driving after drinking alcohol is not acceptable behavior.,飲酒運転が許される行為ではない。
actual,実際の,形容詞,That is an actual fact.,それは実際にあった事だ。
additional,追加の,形容詞,How much was the additional charge?,割り増し料金はいくらでしたか。
afraid,怖がって,形容詞,Every person who is alone is alone because they are afraid of others.,孤独な人は、他人を恐れるから一人なのだ。
angry,腹を立てている,形容詞,Are you angry at what I said?,君は僕が言ったことに腹を立てているのか。
apparent,明白な,形容詞,It was apparent that there was no way out.,解決策がないのは明らかだった。
ashamed,恥じている,形容詞,You should be ashamed of your ignorance.,君は自分の無知を恥じるべきである。
aware,気づいている,形容詞,Are you aware of how much she loves you?,君は彼女がどんなに君を愛しているか気づいているのか。
awful,恐ろしい；ひどい,形容詞,It's an awful shame your wife couldn't come.,奥さんが来れなかったなんて至極残念です。
bad,悪い,形容詞,It's too bad that I don't need to lose weight.,痩せる必要がないというのは残念だ。
basic,基本的な,形容詞,I think your basic theory is wrong.,君の基本的な理論はおかしいと思う。
beautiful,美しい,形容詞,Innocence is a beautiful thing.,潔白であることは美しいことだ。
big,大きい,形容詞,You're running a big risk in trusting him.,君は大きな危険を冒しながら、彼に任せている事になる。
black,黒い,形容詞,She was wearing a black hat.,彼女は黒い帽子をかぶっていた。
bloody,血がついた，ひどく,形容詞,I'd like a Bloody Mary.,ブラッディーマリーをください。
blue,青い,形容詞,The sky is as blue as blue can be.,空はあくまでも青い。
both,両方,形容詞,I'll get something to drink for both of you.,君たち二人に何か飲み物を持ってきてあげよう。
bright,明るい;  まぶしい,形容詞,You have a bright future.,君には明るい未来がある。
brown,茶色の,形容詞,Mr Brown took charge of this class last year.,去年ブラウン先生がこのクラスを受け持った。
busy,忙しい,形容詞,Life is what happens to you while you're busy making other plans.,人生とは、他の予定を立てることに忙しくしている時に起こる現象のことだ。
careful,注意深い,形容詞,You must be careful not to make him angry.,君は彼を怒らせないように気をつけなければならない。
central,中央の； 主要な,形容詞,Isn't this Central Driving School?,そちらはセントラル自動車学校ではないんですか。
certain,確信している；必ず～する；明白である；若干の,形容詞,I'm certain of your success.,僕は君が成功すると確信している。
cheap,安い,形容詞,Buy cheap and waste your money.,安物買いの銭失い。
clean,きれいな；清潔な,形容詞,You had better make a clean breast of everything.,君はすべてのことを打ち明けるほうがよい。
clear,はっきりした,形容詞,You must clear the table.,君は食卓の上を片づけなければならない。
cold,冷たい；寒い,形容詞,You'll soon get accustomed to this cold weather.,君はこの寒さにすぐ慣れるだろう。
comfortable,快適な； 心地よい,形容詞,It's so comfortable here， I really feel at home.,居心地がよく、自分の家みたい。
continuous,連続的な,形容詞,There was a continuous line of cars.,延々と続く車の列があった。
cool,涼しい；冷たい,形容詞,It would be so cool if I could speak ten languages!,10ヶ国語を話せたらどんなにかっこいいだろう！
crazy,気が狂った；夢中である,形容詞,How did you come up with this crazy idea?,こんな馬鹿げた考えをどうやって思いついたんだ？
daily,日々,形容詞,Most people write about their daily life.,多くの人が日常のことについて文を書く。
dangerous,危険な,形容詞,You're stepping into dangerous territory.,君は危険な領域に踏み込んでいるよ。
dark,暗い,形容詞,It's all dark outside.,外は真っ暗だ。
dead,死んでいる,形容詞,It's a dead end.,行き止まりだ。
dear,親愛な,形容詞,This book is too dear for me.,この本は私に高すぎる。
deep,深い,形容詞,It's as deep as it is wide.,間口も広いが奥行きも同様に深い。
dependent,他人に頼っている,形容詞,The taste of wine is largely dependent upon the weather.,ぶどう酒の味は天候に大きく左右されるんです。
different,異なる；いろいろな；変わった,形容詞,I suppose it's different when you think about it over the long term.,長い目で見れば違ってくると思います。
difficult,難しい,形容詞,It's quite difficult to master French in 2 or 3 years.,２、３年でフランス語に熟達するのはきわめて難しい。
dirty,汚い,形容詞,"He exclaimed， ""What a dirty face you have!""",何と汚れた顔をしているんだ、と彼は私に言った。
double,二倍，二倍の、二重の,形容詞,Your book is double the size of mine.,君の本は私の本の２倍の大きさだ。
dry,乾いた,形容詞,I will dry your T-shirt.,君のＴシャツを乾かしてあげましょう。
early,早い；初期の,形容詞,The early bird catches the worm.,朝起きは三文の徳。
easy,簡単な；ゆったりした,形容詞,You are working too hard. Take it easy for a while.,君は働きすぎだよ。しばらくのんびりしたら。
educational,教育の,形容詞,The educational system is in transition.,教育制度は過渡期にある。
either,どちらか,形容詞,You may take either the big box or the small one.,君は大きい箱か小さい箱のどちらかをとっていいよ。
empty,空っぽの,形容詞,My life would be completely empty without you.,君がいなければ私の人生は全くむなしいだろう。
enough,十分な，十分に,形容詞,You are not old enough to go swimming by yourself.,君は独りで泳ぎに行ける歳ではない。
